Raw 0x1f8040c9  Time:  528498889;  DifTime: 393983573
Raw 0x113d2e8f  Time:  289222287;  DifTime: -239276602
Raw 0x113d2fc5  Time:  289222597;  DifTime: 310
Raw 0x113d30af  Time:  289222831;  DifTime: 234
Raw 0x113d3198  Time:  289223064;  DifTime: 233
Raw 0x113d327f  Time:  289223295;  DifTime: 231
Raw 0x113d3365  Time:  289223525;  DifTime: 230
Raw 0x113d344d  Time:  289223757;  DifTime: 232
Raw 0x113d3536  Time:  289223990;  DifTime: 233
Raw 0x113d361c  Time:  289224220;  DifTime: 230
Raw 0x113d3701  Time:  289224449;  DifTime: 229
Raw 0x113d37ec  Time:  289224684;  DifTime: 235
Raw 0x113d3901  Time:  289224961;  DifTime: 277
Raw 0x113d3a67  Time:  289225319;  DifTime: 358
Raw 0x113d3c7d  Time:  289225853;  DifTime: 534
Raw 0x113d3e80  Time:  289226368;  DifTime: 515
Raw 0x113d40ed  Time:  289226989;  DifTime: 621
Raw 0x113d4311  Time:  289227537;  DifTime: 548
Raw 0x113d4419  Time:  289227801;  DifTime: 264
Raw 0x113d4535  Time:  289228085;  DifTime: 284
Raw 0x113d4630  Time:  289228336;  DifTime: 251
Raw 0x113d4728  Time:  289228584;  DifTime: 248
Raw 0x113d481c  Time:  289228828;  DifTime: 244
Raw 0x113d4912  Time:  289229074;  DifTime: 246
Raw 0x113d4a06  Time:  289229318;  DifTime: 244
Raw 0x113d4afa  Time:  289229562;  DifTime: 244
Raw 0x113d4bf1  Time:  289229809;  DifTime: 247
Raw 0x113d4ce4  Time:  289230052;  DifTime: 243
Raw 0x113d4dd7  Time:  289230295;  DifTime: 243
Raw 0x113d4ecc  Time:  289230540;  DifTime: 245
Raw 0x113d4fbf  Time:  289230783;  DifTime: 243
Raw 0x113d50b2  Time:  289231026;  DifTime: 243
Raw 0x113d51a9  Time:  289231273;  DifTime: 247
Raw 0x113d529b  Time:  289231515;  DifTime: 242
Raw 0x113d538f  Time:  289231759;  DifTime: 244
Raw 0x113d5505  Time:  289232133;  DifTime: 374
Raw 0x113d55ff  Time:  289232383;  DifTime: 250
Raw 0x113d56f6  Time:  289232630;  DifTime: 247
Raw 0x113d57e9  Time:  289232873;  DifTime: 243
Raw 0x113d58e0  Time:  289233120;  DifTime: 247
Raw 0x113d59d7  Time:  289233367;  DifTime: 247
Raw 0x113d5acb  Time:  289233611;  DifTime: 244
Raw 0x113d5bc1  Time:  289233857;  DifTime: 246
Raw 0x113d5cb6  Time:  289234102;  DifTime: 245
Raw 0x113d5dab  Time:  289234347;  DifTime: 245
Raw 0x113d5e9d  Time:  289234589;  DifTime: 242
Raw 0x113d5f95  Time:  289234837;  DifTime: 248
Raw 0x113d608a  Time:  289235082;  DifTime: 245
Raw 0x113d617d  Time:  289235325;  DifTime: 243
Raw 0x113d62aa  Time:  289235626;  DifTime: 301
Raw 0x113d639d  Time:  289235869;  DifTime: 243
Raw 0x113d6492  Time:  289236114;  DifTime: 245
Raw 0x113d6585  Time:  289236357;  DifTime: 243
Raw 0x113d667d  Time:  289236605;  DifTime: 248
Raw 0x113d6772  Time:  289236850;  DifTime: 245
Raw 0x113d6866  Time:  289237094;  DifTime: 244
Raw 0x113d695b  Time:  289237339;  DifTime: 245
Raw 0x113d6a4f  Time:  289237583;  DifTime: 244
Raw 0x113d6b40  Time:  289237824;  DifTime: 241
Raw 0x113d6c34  Time:  289238068;  DifTime: 244
Raw 0x113d6d2a  Time:  289238314;  DifTime: 246
Raw 0x113d6e1f  Time:  289238559;  DifTime: 245
Raw 0x113d6f11  Time:  289238801;  DifTime: 242
Raw 0x113d7003  Time:  289239043;  DifTime: 242
Raw 0x113d70f5  Time:  289239285;  DifTime: 242
Raw 0x113d71e9  Time:  289239529;  DifTime: 244
